"Sr. No.","hospitalname","Category","Health Care Provider Type","address First Line","state","district","subdristrict","pincode","telephone","totalnumofbeds","mobilenumber","website","googlemapcorridinate_lati","googlemapcorridinate_longi","facilities","ayush"
"1","Seed PUHC, Samta Vihar","Public/ Government","Dispensary","Gali No- 11, Near K.P.S Samta Vihar, Mukandpur","Delhi","Central Delhi","NA","110042","011 27614150","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"2","Delhi Government Allopathic Dispensary, Mukandpur","Public/ Government","Dispensary","Main Road, Near Shiv Mandir","Delhi","Central Delhi","NA","110042","011 27612457","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"3","Seed PUHC, Nathupura","Public/ Government","Dispensary","Khasra No.-13/5/2, Ground Floor, Village Nathupura, Burari","Delhi","Central Delhi","NA","110084","011 27731296","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"4","Delhi Government Allopathic Dispensary, Jharoda Majra","Public/ Government","Dispensary","Khasra No.40, Jharoda, Majra Village","Delhi","Central Delhi","NA","NA","011 27617122","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"5","Delhi Government Allopathic Dispensary, Timarpur","Public/ Government","Dispensary","Near Community Center, D.A. Flats, Timarpur(12 Hours Double Shift)","Delhi","Central Delhi","NA","110054","011 23817148","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"6","Seed PUHC, Jagatpur","Public/ Government","Dispensary","H.No.-2, Village Jagatpur, Khasra No.-309, Jagatpur Extn.","Delhi","Central Delhi","NA","110084","NA","NA","09968266433","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"7","Delhi Government Allopathic Dispensary, Wazirabad","Public/ Government","Dispensary","Plot No-1, Street No-3 Main Road, Wazirabad Village","Delhi","Central Delhi","NA","110054","011 27650330","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"8","Delhi Government Allopathic Dispensary, Gulabi Bagh","Public/ Government","Dispensary","DA Flats, Gulabi Bagh(12 Hours Double Shift)","Delhi","Central Delhi","NA","110007","011 23654536","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"9","Delhi Government Allopathic Dispensary, Kamla Nagar","Public/ Government","Dispensary","D-11, Kamla Nagar","Delhi","Central Delhi","NA","110007","011 23847687","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"10","Delhi Government Allopathic Dispensary, Inderlok","Public/ Government","Dispensary","DDA Community Hall Building, 1st & 2nd Floor, Inderlok","Delhi","Central Delhi","NA","110035","011 23658610","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"11","Delhi Government Allopathic Dispensary, Anand Parbat","Public/ Government","Dispensary","Gali No. -16, Nai Basti, Anand Parbat","Delhi","Central Delhi","NA","110005","011 25864106","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"12","Delhi Government Allopathic Dispensary, Shahzada Bagh","Public/ Government","Dispensary","Near Tent Wali Masjid","Delhi","Central Delhi","NA","110035","011 23659033","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"13","Delhi Government Allopathic Dispensary, Sarai Rohilla","Public/ Government","Dispensary","01 to 08, Chandershekhar, Ajad Colony","Delhi","Central Delhi","NA","NA","011 23692478","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"14","Delhi Government Allopathic Dispensary, Majnu Ka Tila","Public/ Government","Dispensary","1st Floor Community Center,Majnu Ka Tila","Delhi","Central Delhi","NA","110054","011 23810659","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"15","Delhi Government Allopathic Dispensary, Old Secretariat","Public/ Government","Dispensary","Alipur Road, Sham Nath Marg, Back Veranda of Old Secretariat","Delhi","Central Delhi","NA","110054","011 23890330","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"16","Delhi Government Allopathic Dispensary, Tis Hazari","Public/ Government","Dispensary","Room No.141, Tis-Hazari Court Complex","Delhi","Central Delhi","NA","NA","011 23944055","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"17","Delhi Government Allopathic Dispensary, Tis-Hazari Near Lawyer Chambers","Public/ Government","Dispensary","Tis-Hazari Court Complex, Near Lawyer Chambers","Delhi","Central Delhi","NA","NA","011 23944066","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"18","Delhi Government Allopathic Dispensary, Pul Bangash","Public/ Government","Dispensary","Nawabganj, Near Azad Market Crossing","Delhi","Central Delhi","NA","110006","011 23532753","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"19","Delhi Government Allopathic Dispensary, Gali Guliyan","Public/ Government","Dispensary","Paiwalan, Maduras Chowk, Near Jama Masjid, Police Station","Delhi","Central Delhi","NA","110006","011 23243340","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"20","Delhi Government Allopathic Dispensary, Dujana House","Public/ Government","Dispensary","Gali Chitli Quabar Jama Masjid","Delhi","Central Delhi","NA","110006","011 23264639","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"21","Delhi Government Allopathic Dispensary, Ajmeri Gate","Public/ Government","Dispensary","MPCC, 1st floor, 4528, Gali Sahatara","Delhi","Central Delhi","NA","110006","011 23214248","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"22","Delhi Government Allopathic Dispensary, Suiwalan","Public/ Government","Dispensary","Health Centre- SCP 758/X Gali Wakilwali, Suiwalan","Delhi","Central Delhi","NA","110006","011 23243145","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
